Date,Country,City,Specie,count,min,max,median,variance
7/1/2020,VN,Ha Noi,pm10,20,40,71,48,658.4
7/3/2020,VN,Ha Noi,pm10,24,39,55,45,204.27
4/4/2020,VN,Ha Noi,pm10,24,7,39,12,790.27
2/6/2020,VN,Ha Noi,pm10,24,19,54,40,941.45
12/12/2020,VN,Ha Noi,pm10,24,24,54,37,802.16
24/12/2020,VN,Ha Noi,pm10,24,25,55,36,890.27
3/11/2020,VN,Ha Noi,pm10,24,8,28,19,379.84
14/11/2020,VN,Ha Noi,pm10,24,19,62,35,2065.8
10/4/2020,VN,Ha Noi,pm10,24,21,46,37,754.78
11/6/2020,VN,Ha Noi,pm10,24,8,55,34,1854.49
28/07/2020,VN,Ha Noi,pm10,24,39,70,54,754.71
26/09/2020,VN,Ha Noi,pm10,24,11,20,16,70.27
30/11/2020,VN,Ha Noi,pm10,24,16,45,28,637.37
16/04/2020,VN,Ha Noi,pm10,24,17,39,26,375.58
26/04/2020,VN,Ha Noi,pm10,24,8,14,10,39.13
18/09/2020,VN,Ha Noi,pm10,24,9,20,12,64.18
24/10/2020,VN,Ha Noi,pm10,24,30,68,57,1372.75
7/10/2020,VN,Ha Noi,pm10,24,10,23,15,149.27
8/1/2020,VN,Ha Noi,pm10,21,32,64,50,539.62
12/1/2020,VN,Ha Noi,pm10,24,19,82,31,3417.39
22/02/2020,VN,Ha Noi,pm10,24,75,98,80,515.05
7/4/2020,VN,Ha Noi,pm10,24,30,55,34,483.9
8/9/2020,VN,Ha Noi,pm10,24,23,51,37,496.94
8/11/2020,VN,Ha Noi,pm10,24,10,51,22,1823.41
12/1/2021,VN,Ha Noi,pm10,24,17,45,34,593.03
28/02/2020,VN,Ha Noi,pm10,24,24,45,36,387.81
29/04/2020,VN,Ha Noi,pm10,24,46,85,66,1218.1
17/05/2020,VN,Ha Noi,pm10,24,19,40,24,207.37
4/9/2020,VN,Ha Noi,pm10,24,32,46,38,127.54
27/08/2020,VN,Ha Noi,pm10,24,26,53,39,602.54
29/10/2020,VN,Ha Noi,pm10,24,17,41,25,279.13
19/02/2020,VN,Ha Noi,pm10,24,45,85,64,1127.75
21/07/2020,VN,Ha Noi,pm10,24,14,48,22,847.17
5/8/2020,VN,Ha Noi,pm10,24,10,29,21,316.45
11/8/2020,VN,Ha Noi,pm10,14,6,31,21,573.24
1/5/2020,VN,Ha Noi,pm10,24,22,49,38,612.16
14/03/2020,VN,Ha Noi,pm10,24,30,54,35,428.24
12/7/2020,VN,Ha Noi,pm10,24,21,55,36,1060.71
1/8/2020,VN,Ha Noi,pm10,24,14,47,21,1246.67
1/9/2020,VN,Ha Noi,pm10,24,18,59,27,1739.55
1/10/2020,VN,Ha Noi,pm10,24,8,29,16,265.63
11/12/2020,VN,Ha Noi,pm10,24,27,71,52,2479.13
22/01/2020,VN,Ha Noi,pm10,24,39,75,54,1048.1
1/2/2020,VN,Ha Noi,pm10,24,43,89,78,2171.01
8/2/2020,VN,Ha Noi,pm10,24,19,52,32,668.91
1/4/2020,VN,Ha Noi,pm10,14,23,48,34,687.09
28/04/2020,VN,Ha Noi,pm10,22,19,63,51,2486.95
2/9/2020,VN,Ha Noi,pm10,24,42,61,53,421.45
13/09/2020,VN,Ha Noi,pm10,24,14,25,16,96.94
22/10/2020,VN,Ha Noi,pm10,24,18,54,34,1318.24
5/1/2020,VN,Ha Noi,pm10,24,34,57,47,458.1
17/01/2020,VN,Ha Noi,pm10,24,20,53,33,1597.81
3/2/2020,VN,Ha Noi,pm10,24,12,94,68,7300.22
18/03/2020,VN,Ha Noi,pm10,18,9,26,17,201.47
10/12/2020,VN,Ha Noi,pm10,23,33,73,54,1677.27
5/1/2021,VN,Ha Noi,pm10,24,53,88,79,1798.24
1/1/2020,VN,Ha Noi,pm10,24,68,92,83,431.88
11/1/2020,VN,Ha Noi,pm10,24,26,52,46,725.22
25/05/2020,VN,Ha Noi,pm10,24,16,50,28,1076.23
31/07/2020,VN,Ha Noi,pm10,24,18,50,37,1320.42
23/11/2020,VN,Ha Noi,pm10,24,14,56,29,1244.76
19/01/2021,VN,Ha Noi,pm10,24,26,58,42,1171.88
