Index,DO mgO2/l,Na(mg/l),SO4 (mg/l),classification
180,3.66,20.096,20.295,1
181,1.67,16.619,17.118,0
182,1.56,16.39,17.658,0
183,1.13,13.77,12.97,0
184,1.51,20.253,16.07,0
185,2.04,20.714,13.756,0
186,0.76,92.9101613832853,13.286,0
187,1.91,92.9101613832853,14.671,0
188,2.28,92.9101613832853,14.387,0
189,1.42,92.9101613832853,19.578,0
190,1.8,92.9101613832853,34.21911720698254,0
191,2.3,92.9101613832853,34.21911720698254,0
192,0.75,92.9101613832853,34.21911720698254,0
193,3.99,29.69,45.851,1
194,1.41,25.581,41.852,0
195,3.82,42.857,43.158,1
196,2.31,11.739,17.258,0
197,2.53,11.395,17.74,0
198,0.3,16.364,14.566,0
199,2.29,4.455,19.849,0
200,1.93,7.763,14.417,0
201,1.94,21.074,13.344,0
202,1.9,15.626,19.528,0
203,1.6,18.207,18.485,0
204,3.44,27.904,22.462,1
205,1.5,17.882,27.482,0
206,2.45,23.297,29.664,0
207,0.73,14.788,14.171,0
208,1.83,20.0,21.577,0
209,1.62,20.0,19.399,0
210,1.01,92.9101613832853,25.723,0
211,2.42,92.9101613832853,36.339,0
212,2.41,92.9101613832853,17.215,0
213,0.83,92.9101613832853,21.064,0
214,2.65,92.9101613832853,34.21911720698254,0
215,2.7,92.9101613832853,34.21911720698254,0
216,1.12,92.9101613832853,34.21911720698254,0
217,7.33,25.736,49.259,1
218,3.77,20.654,34.148,1
219,4.82,38.69,41.61,1
220,2.41,12.435,6.96,0
221,5.5,26.744,20.119,1
222,2.03,27.273,24.676,0
223,3.32,8.493,26.953,1
224,4.02,6.316,8.84,1
225,3.2,18.182,18.012,1
226,2.84,10.989,22.451,0
227,3.0,20.689,36.317,0
228,3.64,19.373,25.391,1
229,3.59,20.329,48.572,1
230,4.84,25.17,31.457,1
231,1.6,19.946,19.722,0
232,2.19,20.253,33.868,0
233,2.15,25.5,39.986,0
234,1.15,92.9101613832853,13.518,0
235,2.45,92.9101613832853,30.108,0
236,3.43,92.9101613832853,40.921,1
237,1.7,92.9101613832853,27.807,0
238,1.92,92.9101613832853,34.21911720698254,0
239,2.55,92.9101613832853,34.21911720698254,0
240,1.59,92.9101613832853,34.21911720698254,0
241,7.33,19.477,40.21,1
242,2.24,26.357,40.666,0
243,5.22,20.286,17.154,1
244,4.09,9.343,9.774,1
245,4.9,25.93,20.263,1
246,2.44,25.636,15.701,0
247,2.45,4.182,13.363,0
248,2.23,7.631,9.602,0
249,1.06,19.835,21.505,0
250,2.2,14.176,27.684,0
251,5.68,7.917,10.657,1
252,4.22,8.156,12.035,1
253,3.44,27.529,56.821,1
254,5.25,11.04,17.984,1
255,1.13,19.567,21.181,0
256,3.85,8.046,14.547,1
257,3.76,7.786,9.001,1
258,2.21,92.9101613832853,14.124,0
259,2.33,92.9101613832853,18.531,0
260,3.44,92.9101613832853,17.147,1
261,1.59,92.9101613832853,23.529,0
262,1.55,92.9101613832853,34.21911720698254,0
263,3.88,92.9101613832853,34.21911720698254,1
264,1.44,92.9101613832853,34.21911720698254,0
265,3.56,7.68,15.363,1
266,4.04,18.733,21.95,1
267,3.12,8.283,17.201,1
268,5.04,7.47,15.372,1
269,4.13,4.181,14.396,1
270,2.53,4.182,13.402,0
271,2.72,7.579,10.111,0
272,3.73,7.107,12.5,1
273,3.85,4.396,10.145,1
274,5.42,5.497,13.637,1
275,3.04,6.148,16.635,0
276,3.53,7.097,17.369,1
277,4.7,5.184,19.03,1
278,4.27,9.189,20.385,1
279,4.29,4.035,8.669,1
280,2.51,5.119,10.052,0
281,4.71,92.9101613832853,10.889,1
282,3.71,468.888,65.7,1
283,3.97,167.742,36.65,1
284,3.21,5.826,4.517,1
285,4.09,5.276,6.418,1
