Index,count,min,max,median,variance,classification
175,48,0.5,13,3.0,103.93,1
176,47,13.0,154,65.0,11943.7,2
177,24,31.0,60,50.0,726.02,1
178,48,1.9,24,7.8,383.22,1
179,47,1.7,12,4.5,103.76,1
180,15,18.0,30,26.0,96.95,1
181,46,0.1,24,4.0,440.39,1
182,47,16.0,164,62.0,11336.1,2
183,45,4.5,17,11.0,161.3,1
184,24,3.0,68,23.0,4355.63,1
185,38,0.5,27,7.0,347.65,1
186,48,4.6,53,16.0,1726.23,1
187,48,2.5,19,7.8,299.59,1
188,43,4.9,15,12.0,161.91,1
189,48,1.3,25,6.0,322.4,1
190,48,0.1,20,0.2,288.03,1
191,45,1.6,13,4.1,86.83,1
192,33,0.1,8,3.0,53.17,1
193,44,0.5,19,5.5,233.24,1
194,23,10.0,110,60.0,5700.87,1
195,41,0.1,6,4.0,54.22,1
196,43,3.1,9,6.0,39.45,1
197,48,0.9,16,4.9,186.0,1
198,44,1.6,7,3.0,19.38,1
199,40,0.9,8,2.0,32.29,1
200,48,3.7,29,11.4,531.49,1
201,46,1.6,8,3.0,17.02,1
202,47,0.1,21,4.0,386.71,1
203,48,19.0,175,65.0,16683.3,2
204,24,12.0,30,22.0,186.67,1
205,48,0.1,38,0.4,797.34,1
206,48,8.7,50,19.7,1251.18,1
207,48,0.1,19,0.2,317.03,1
208,47,0.1,12,3.0,136.61,1
209,48,0.1,27,0.3,566.01,1
210,24,43.0,63,51.0,318.68,1
211,48,0.1,26,0.3,609.85,1
212,24,45.0,87,68.0,1411.58,1
213,43,1.6,7,4.0,17.75,1
214,48,1.4,45,10.6,957.27,1
215,32,3.6,9,7.0,23.14,1
216,48,2.5,24,8.0,363.92,1
217,45,0.5,47,2.8,1013.64,1
218,48,25.0,162,78.0,16160.8,2
219,46,0.1,13,8.0,259.4,1
220,24,11.0,55,26.0,2572.39,1
221,35,3.6,9,7.0,29.53,1
222,46,0.5,27,3.0,181.64,1
223,43,17.0,139,82.0,11694.0,2
224,48,1.9,21,7.8,247.89,1
225,24,38.0,101,59.0,2545.49,1
226,3,4.0,4,4.0,0.0,1
227,29,0.6,2,2.0,3.09,1
228,48,1.4,31,8.3,561.7,1
229,47,3.6,13,7.0,73.29,1
230,21,18.0,35,24.0,238.48,1
231,48,18.0,99,29.0,8672.7,2
232,48,0.1,31,0.3,637.68,1
233,24,4.0,11,6.0,47.81,1
234,24,10.0,38,16.0,905.49,1
235,48,19.0,151,33.0,13130.5,2
236,48,2.5,31,9.4,504.88,1
237,24,15.0,36,28.0,555.05,1
238,46,0.9,7,2.9,29.29,1
239,48,1.7,26,7.4,387.54,1
240,14,4.0,4,4.0,0.0,1
241,24,22.0,47,26.0,353.02,1
242,47,6.0,95,29.0,6463.68,1
243,46,4.5,20,11.0,243.21,1
244,40,0.1,11,7.0,153.41,1
245,23,63.0,191,89.0,20695.5,2
246,48,0.5,14,3.0,125.2,1
247,47,1.3,15,4.5,144.07,1
248,47,19.0,158,45.0,17266.9,2
249,24,23.0,250,182.0,82541.4,0
250,47,10.0,107,37.0,8223.22,2
251,24,19.0,35,24.0,266.09,1
252,24,42.0,71,57.0,633.9,1
253,48,3.7,17,7.0,169.23,1
254,46,0.1,13,2.0,133.92,1
255,37,0.1,6,5.0,61.54,1
256,24,66.0,81,75.0,135.2,1
257,24,5.0,19,12.0,196.52,1
258,24,66.0,150,98.0,4564.06,1
259,48,0.1,22,0.2,330.11,1
260,24,5.0,62,18.0,2334.62,1
261,48,5.5,61,20.0,2134.29,1
